nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 10:40:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 10:40:00",110,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 10:40:00",1080,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 10:40:00",6640,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 10:40:00",430,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 10:40:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 10:30:00",3600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 10:40:00",1670,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 09:05:42",2020,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 10:40:00",-1780,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 10:40:00",840,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 10:40:00",360,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 10:40:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 10:40:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 10:40:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 10:40:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 10:40:00",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 10:40:00",2640,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 10:30:00",1560,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 10:40:00",1030,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 10:40:00",1850,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 11:10:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 11:10:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 11:10:00",1080,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 11:10:00",6580,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 11:10:00",400,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 11:10:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 11:10:00",3600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 11:10:00",2070,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 10:00:15",2070,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 11:10:00",-1780,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 11:10:00",840,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 11:10:00",410,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 11:10:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 11:00:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 11:10:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 11:10:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 11:10:00",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 11:00:00",2650,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 11:10:00",1580,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 11:10:00",1050,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 11:00:00",1890,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 11:40:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 11:40:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 11:40:00",1060,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 11:40:00",6540,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 11:40:00",400,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 11:40:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 11:40:00",3550,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 11:40:00",2060,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 11:06:25",2120,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 11:40:00",-1780,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 11:40:00",870,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 11:40:00",430,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 11:40:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 11:40:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 11:40:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 11:40:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 11:40:00",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 11:40:00",2650,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 11:30:00",1590,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 11:40:00",1030,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 11:40:00",1980,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 12:10:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 12:10:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 12:10:00",1050,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 12:10:00",6500,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 12:10:00",450,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 12:10:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 12:10:00",3510,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 12:10:00",2070,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 11:06:25",2120,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 11:50:00",-1780,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 12:10:00",830,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 12:10:00",460,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 12:10:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 12:10:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 12:00:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 12:10:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 12:10:00",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 12:00:00",2650,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 12:00:00",1580,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 12:10:00",1030,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 12:10:00",1940,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 12:40:00",210,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 12:40:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 12:40:00",1040,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 12:40:00",6470,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 12:40:00",470,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 12:40:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 12:40:00",3470,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 12:40:00",2060,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 12:04:53",2140,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 12:40:00",-1750,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 12:40:00",800,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 12:40:00",480,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 12:40:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 12:40:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 12:40:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 12:30:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 12:40:00",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 12:40:00",2640,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 12:40:00",1570,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 12:40:00",1020,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 12:40:00",1900,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 13:10:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 13:10:00",90,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 13:10:00",1020,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 13:10:00",6460,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 13:10:00",470,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 13:10:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 13:10:00",3430,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 13:10:00",2060,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 12:04:53",2140,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 13:00:00",-1760,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 13:10:00",830,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 13:10:00",520,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 13:10:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 13:10:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 13:10:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 13:10:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 13:10:00",1790,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 13:10:00",2640,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 12:50:00",1570,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 13:10:00",1010,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 13:10:00",1880,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 13:40:00",200,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 13:40:00",80,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 13:40:00",1010,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 13:40:00",6450,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 13:40:00",450,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 13:40:00",210,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 13:40:00",3450,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 13:20:00",1860,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 13:07:03",2140,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 13:40:00",-1740,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 13:40:00",810,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 13:40:00",560,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 13:30:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 13:40:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 13:40:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 13:40:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 13:40:00",1790,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 13:40:00",2630,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 13:30:00",1560,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 13:40:00",1000,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 13:40:00",1870,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 14:10:00",220,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 14:10:00",90,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 14:10:00",1010,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 14:10:00",6460,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 14:10:00",440,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 14:10:00",150,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 14:00:00",3460,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 14:10:00",2000,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 13:07:03",2140,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 14:10:00",-1730,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 14:10:00",800,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 14:10:00",590,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 14:10:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 14:10:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 14:10:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 14:10:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 14:10:00",1790,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 14:10:00",2620,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 13:50:00",1560,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 14:10:00",1010,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 14:10:00",1860,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 14:40:00",200,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 14:40:00",90,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 14:40:00",1000,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 14:40:00",6520,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 14:40:00",430,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 14:40:00",150,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 14:40:00",3450,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 14:40:00",2000,"Status : Siaga 2"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 13:07:03",2140,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 14:40:00",-1710,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 14:40:00",810,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 14:40:00",600,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 14:40:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 14:40:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 14:40:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 14:40:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 14:20:00",1790,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 14:40:00",2620,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 14:40:00",1550,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 14:30:00",1000,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 14:40:00",1880,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 15:10:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 15:10:00",90,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 15:10:00",990,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 15:10:00",6580,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 15:10:00",410,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 15:10:00",160,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 15:10:00",3500,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 15:10:00",1960,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 15:00:05",2030,"Status : Siaga 2"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 15:10:00",-1720,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 15:10:00",790,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 15:10:00",610,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 15:00:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 15:10:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 15:00:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 15:00:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 15:10:00",1790,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 15:10:00",2610,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 15:10:00",1550,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 15:10:00",1000,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 15:10:00",1850,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 15:40:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 15:10:00",90,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 15:40:00",990,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 15:40:00",6590,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 15:40:00",410,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 15:40:00",160,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 15:40:00",3550,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 15:40:00",1920,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 15:40:00",1930,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 15:40:00",-1730,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 15:40:00",790,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 15:40:00",620,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-02 15:20:00",630,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-02 15:40:00",3350,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-02 15:40:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-02 15:40:00",400,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-02 15:30:00",1780,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-02 15:40:00",2600,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-02 15:40:00",1550,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-02 15:40:00",990,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-02 15:30:00",1850,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-02 16:10:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-02 16:10:00",90,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-02 16:10:00",1010,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-02 16:10:00",6570,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-02 16:10:00",410,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-02 16:10:00",170,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-02 16:10:00",3610,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-02 16:10:00",1860,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-02 16:10:00",1890,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-02 16:10:00",-1770,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-02 16:10:00",770,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-02 16:10:00",630,"Status : Normal"
